Name,Author / Platform,Type
"*Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants*",Robin Wall Kimmerer,Book
*Algospeak: How Social Media Is Transforming the Future of Language*,Adam Aleksic,Book
*Boots*,Netflix,Film
*The Social Dilemma*,Netflix,Film
*The Attention Economy*,Arushi Bhandari,Book
[Karen Hao- interview](https://www.youtube.com/watch?v=8enXRDlWguU),Youtube,Video
*Superboys of Malegaon*,Amazon Prime,Film
*The Rosie Project*,Don Tillman,Book
*Orbital*,Samantha Harvey,Book
*Parts Unknown*,Anthony Bordain,TV show
*Kitchen Confidential*,Anthony Bordain,TV show
*No Reservation*,Anthony Bordain,TV show
*Idea of the Muslim World: A Global Intellectual History*,Cemil Aydin,Book
*Ottoman History Podcast*, ,Podcast
*When only God can see: the Muslim Faith of Political Prisoners*,Walaa Quisay & Asim Qureshi,Book
Gyanendra Pandey, ,Writings
Papihah Ghosh, ,Writings
The Writings of Sharjeel Imam, ,Writings
*Genealogies of Religion*,Talal Asad,Book
*The Venture of Islam*,Marshall Hodson,Book
*Politics of Piety*,Saba Mahmood,Book
*What is Islam? Importance of being Islamic*,Shahab Ahmed,Book
Iqbal, ,Writings
*Becoming Young Men in a New India*,Shannon Philip,Book
*After I Was Raped: The Untold Lives of Five Survivors*,Urmi Bhattacheryya,Book
*Ozarc*,Netflix,TV Show
*The Biological basis of sexuality*, ,Book
*Emperor of all maladies*,Siddhart Mukherjee,Book
*The Gene Machine*,Venky Ramakrishnan,Book
*The Last Lecture*,Randy Post,Book
*War*, Bob Woodward,Book
['Behind the graduate mental health crisis in science'](https://www.nature.com/articles/s41587-024-02457-z),Nature,Article
['What OnlyFans' billions reveal about the market value of male desire'](https://maalvika.substack.com/p/what-onlyfans-billions-reveal-about),Substack,Article
*Go Touch Grass* Podcast, ,Podcast
*Boring Bedtime Stories*, ,Podcast
*Conclave*, ,Film
*Thicc*, ,Writings
*Sense of Style*, ,Writings
*Living a Feminist Life*,Nivedita Menon,Book
*Badhai Do*,Netflix,Film
*The Great Indian Kitchen*,Netflix,Film
*Thappad*,Prime,Film
*Delhi: a Novel*,Kushwant Singh,Book
*Age of Vice*,Deepti Kapoor,Book
*How to talk to your cat about gun violence*,Zachary Auburn,Book
[*Relationshit advice: Ananya Pandey*](https://www.youtube.com/watch?v=XsrR-lmKgic),Netflix India's Youtube Channel,Video
The work of Bella de Paulo, ,Writings
Flop show,Jaspal Bhatti,TV Show
Pushpa 2,Amazon Prime,Film
*Violence*,Rebecca Watson,Video
*Development and Economics*,Ashmita Kapra,Book
*Animal Intimacies*,Radhika Govindarajan,Book
'Jatikaran: relationship between temple and outside rats',Kyle J. Trembley,Article
*The Rise and Fall of the Emerald Forest*,Raghu Chandawat,Book
"["Protecting India's tigers and wolves through art, collaboration and conservation | Franklin College of Arts and Sciences"](https://www.franklin.uga.edu/news/stories/2024/protecting-indias-tigers-and-wolves-through-art-collaboration-and-conservation)", ,Article
*Fundamentals of Physics*,Halliday Resnick,Book
*University Physics*,OpenStax,Book
*Brief History of Time*,Stephen Hawking,Book
*Dirac belt trick*, ,Writings
*KKLT*, ,Film
*Problem*,Dine Seiberg,Book
The works of Stephen Wineberg, ,Writings
*What We Owe to the Future*,William MacAskill,Book
*What is Real*,Adam Becker,Book
*Theory and Reality*, ,Book
*Twilight of Democracy*, ,Book
*A Scout Mindset*, ,Book
*Puzzles to Unravel the Universe*, ,Book
"*A very Short introduction series: game theory, religion*", ,Book
*Punjab ka Batwara*, ,Book
*Proofs*, ,Book
*4 Lions*, ,Film
"[*Race, Science, and the Continuing Education of Razib Khan*](https://undark.org/2017/02/28/race-science-razib-khan-racism/)", ,Article
*Yo Yo Honey Singh: Famous*,Netflix,Documentary
*We are Here* newsletters,Vlog brothers,Video
["The Man Who Took LSD and Changed The World"](https://www.youtube.com/watch?v=zaXKQ70q4KQ),Veritasium on Youtube,Video
*The Empire Podcast*,William Darlymple and Anita Anand,Podcast
*The Last of Us*, ,TV Show
*Daryl Dickson*, ,Writings
*Aeons: Surviving Deep Time* Podcast, ,Podcast
*Vettaiyan*, ,Film
*Sabrina*, ,Film
*Scent of a Woman*, ,Film
*All that We Imagine as Light*, ,Film
*Vettayan*, ,Film
[Lallantop Honey Singh interview](https://www.youtube.com/watch?v=LP1gfUFP4go),Lallantop on Youtube,Video
*Sarfarosh*, ,Film
"[*The Vulgarity of Caste: Dalits, Sexuality, and Humanity in Modern India*](https://www.sup.org/books/title/?id=34163)",Shailaja Paik,Book
[*The Good Research Code Handbook*](https://goodresearch.dev), ,Book
*The Wager*, ,Film
['A scientific fraud. An investigation. A lab in recovery'](https://www.thetransmitter.org/science-and-society/a-scientific-fraud-an-investigation-a-lab-in-recovery/), ,Article
"Gastropod Podcast", ,Podcast
[Dan Goodly](https://www.thendobetter.com/arts/2021/11/1/dan-goodley-disability-social-models-technology-interdependece-on-being-human-podcast), ,Podcast
Alexander Grahm Bell biography, ,Book
[The work of Shampa Sengupt/](https://feminisminindia.com/author/shampa/), ,Writings
*Crib camp: A Disability Revolution*,Netflix,Documentary
[Pitching Around Fidel: A Journey Into the Heart of Cuban Sports](https://archive.org/details/pitchingaroundfi00sabr), ,Article
"['On National Sports Day today, Aman Misra recommends a few sports books that can inspire children'](https://t2online.in/goodlife/books/on-national-sports-day-today-aman-misra-recommends-a-few-sports-books-that-can-inspire-children/80356)", ,Article
[*The Inconvenient Indian*](https://www.penguinrandomhouse.ca/books/93028/the-inconvenient-indian-by-thomas-king/9780385664226), by Thomas King,Book
['Linguini: A benchmark for language-agnostic linguistic reasoning'](https://arxiv.org/pdf/2409.12126), ,Article
['The promise of Ambedkar University Delhi is in tatters. Professors are quitting & suing'](https://theprint.in/ground-reports/the-promise-of-ambedkar-university-delhi-is-in-tatters-professors-are-quitting-suing/2283023/), ,Article
*The Reluctant Fundamentalist*, ,Film
*Rings of Power*, ,TV Show
*The Sound of Metal*,Amazon Prime,Film
*Resident Alien*, ,Film
*Letter to an ecologist*,Hugh Wilson,Book
[*An environmental history of India*](https://www.cambridge.org/core/books/an-environmental-history-of-india/20102711CAD02F7D3CC090D2E283E006),Micheal H Fisher,Book
*Avesham*, ,Film
*Brahmoyugam*, ,Film
*Manjumel Boys*, ,Film
*Premalu*, ,Film
